Regions|Total|Residential|Establishments|Residential && Establishments|Vacant|Other
Dasman|1|-|1|-|-|-
Al Sharq|2,948|17|2,383|96|452|-
Mirqab|1,802|12|1,318|65|407|-
 Soor Gardens|5|-|1|-|4|-
Qibla |12,913|26|10,988|179|1,720|-
Coastal strip|24|-|21|-|3|-
Bneid Al - Gar|219|5|152|39|23|-
Dasma |99|1|92|2|4|-
 Mansoriya|37|-|34|2|1|-
Abdalla-Alsalim|57|-|49|-|8|-
Shamiya|74|-|62|4|8|-
Diya|114|-|87|14|13|-
Qadisiya|80|1|63|2|14|-
Nuzha|66|-|55|1|10|-
Faiha|87|-|74|1|12|-
Kifan|256|2|135|6|113|-
Rawda|102|-|76|3|23|-
Idailiya|143|1|104|5|33|-
Khaldiya|71|1|64|1|5|-
Surra|180|-|153|2|25|-
Qurtuba|138|-|122|1|15|-
Al.yamouk|119|-|94|1|24|-
Shuwaikh |41|-|39|1|1|-
Shuaikh Ind|10,551|62|7,797|295|2,397|-
Garnada|38|-|35|2|1|-
Mubarakiya Comp |6|-|1|-|5|-
Al Shuwaikh Sanitary|7|-|7|-|-|-
Sulaibekhat|125|3|93|12|17|-
Doha Residential |101|3|88|9|1|-
Doha port|32|1|15|3|13|-
Failka Isl|13|-|2|-|11|-
 Miskan Isl|-|-|-|-|-|-
 Oha Isl|-|-|-|-|-|-
Kubar Isl|-|-|-|-|-|-
Qarowa Isl|-|-|-|-|-|-
Aum - Almaradim Isl  |-|-|-|-|-|-
 Aum - Alnamil Isl|-|-|-|-|-|-
Doha Resort |-|-|-|-|-|-
Free Zone|-|-|-|-|-|-
North West Sulaibekhat|52|-|24|-|28|-
Jaber Al Ahmad City|132|-|101|1|30|-
Total|30,633|135|24,330|747|5,421|-
